step,train_loss,val_loss
0,8.4598,8.4566
100,6.2392,6.2666
200,6.0803,6.1205
300,5.8283,5.8855
400,5.6173,5.7117
500,5.4594,5.5694
600,5.3218,5.4480
700,5.2161,5.3694
800,5.1440,5.2915
900,5.0651,5.2400
1000,5.0127,5.1946
1100,4.9665,5.1599
1200,4.9238,5.1172
1300,4.8843,5.0918
1400,4.8395,5.0688
1500,4.8066,5.0412
1600,4.7661,5.0240
1700,4.7460,5.0034
1800,4.7082,4.9769
1900,4.6837,4.9703
2000,4.6577,4.9462
2100,4.6314,4.9381
2200,4.6106,4.9252
2300,4.5842,4.9106
2400,4.5719,4.8970
2500,4.5464,4.8835
2600,4.5246,4.8753
2700,4.5091,4.8629
2800,4.4850,4.8501
2900,4.4769,4.8550
3000,4.4450,4.8338
3100,4.4178,4.8282
3200,4.4214,4.8080
3300,4.4102,4.8045
3400,4.3953,4.7986
3500,4.3753,4.7888
3600,4.3572,4.7890
3700,4.3499,4.7936
3800,4.3446,4.7906
3900,4.3174,4.7671
4000,4.3083,4.7758
4100,4.2879,4.7653
4200,4.2912,4.7627
4300,4.2698,4.7597
4400,4.2611,4.7546
4500,4.2497,4.7486
4600,4.2373,4.7388
4700,4.2285,4.7355
4800,4.2151,4.7362
4900,4.2115,4.7487
4999,4.1914,4.7388
